"Plot Title: 20454092_DO_logger"
"#","Date Time, GMT-07:00","DO conc, mg/L (LGR S/N: 20454092, SEN S/N: 20454092)","Temp, °C (LGR S/N: 20454092, SEN S/N: 20454092)","DO Adj Conc, mg/L (LGR S/N: 20454092)","DO Percent Sat, % (LGR S/N: 20454092)","Coupler Attached (LGR S/N: 20454092)","Stopped (LGR S/N: 20454092)","End Of File (LGR S/N: 20454092)"
281,04/24/19 09:25:49 AM,11.58,9.40,11.58,100.2,,,
282,04/24/19 09:35:49 AM,11.58,9.42,11.58,100.3,,,
283,04/24/19 09:45:49 AM,11.58,9.42,11.58,100.3,,,
284,04/24/19 09:55:49 AM,11.56,9.44,11.56,100.1,,,
285,04/24/19 10:05:49 AM,11.57,9.46,11.57,100.3,,,
286,04/24/19 10:15:49 AM,11.57,9.48,11.57,100.3,,,
287,04/24/19 10:25:49 AM,11.57,9.48,11.57,100.3,,,
288,04/24/19 10:35:49 AM,11.57,9.50,11.57,100.4,,,
289,04/24/19 10:45:49 AM,11.56,9.50,11.56,100.3,,,
290,04/24/19 10:55:49 AM,11.55,9.50,11.55,100.2,,,
291,04/24/19 11:05:49 AM,11.56,9.52,11.56,100.3,,,
292,04/24/19 11:15:49 AM,11.56,9.52,11.56,100.3,,,
293,04/24/19 11:25:49 AM,11.55,9.54,11.55,100.3,,,
294,04/24/19 11:35:49 AM,11.55,9.56,11.55,100.3,,,
295,04/24/19 11:45:49 AM,11.55,9.56,11.55,100.3,,,
296,04/24/19 11:55:49 AM,11.55,9.56,11.55,100.3,,,
297,04/24/19 12:05:49 PM,11.55,9.58,11.55,100.4,,,
298,04/24/19 12:15:49 PM,11.55,9.58,11.55,100.4,,,
299,04/24/19 12:25:49 PM,11.54,9.58,11.54,100.3,,,
300,04/24/19 12:35:49 PM,11.54,9.58,11.54,100.3,,,
301,04/24/19 12:45:49 PM,11.53,9.58,11.53,100.2,,,
302,04/24/19 12:55:49 PM,11.54,9.58,11.54,100.3,,,
303,04/24/19 01:05:49 PM,11.54,9.58,11.54,100.3,,,
304,04/24/19 01:15:49 PM,11.55,9.58,11.55,100.4,,,
305,04/24/19 01:25:49 PM,11.54,9.58,11.54,100.3,,,
306,04/24/19 01:35:49 PM,11.54,9.60,11.54,100.3,,,
307,04/24/19 01:45:49 PM,11.53,9.60,11.53,100.3,,,
308,04/24/19 01:55:49 PM,11.54,9.60,11.54,100.3,,,
309,04/24/19 02:05:49 PM,11.54,9.60,11.54,100.3,,,
310,04/24/19 02:15:49 PM,11.53,9.60,11.53,100.3,,,
311,04/24/19 02:25:49 PM,11.54,9.62,11.54,100.4,,,
312,04/24/19 02:35:49 PM,11.53,9.62,11.53,100.3,,,
313,04/24/19 02:45:49 PM,11.53,9.62,11.53,100.3,,,
314,04/24/19 02:55:49 PM,11.53,9.64,11.53,100.3,,,
315,04/24/19 03:05:49 PM,11.53,9.66,11.53,100.4,,,
316,04/24/19 03:15:49 PM,11.52,9.66,11.52,100.3,,,
317,04/24/19 03:25:49 PM,11.53,9.68,11.53,100.4,,,
318,04/24/19 03:35:49 PM,11.53,9.68,11.53,100.4,,,
319,04/24/19 03:45:49 PM,11.52,9.70,11.52,100.4,,,
320,04/24/19 03:55:49 PM,11.51,9.70,11.51,100.3,,,
321,04/24/19 04:05:49 PM,11.52,9.70,11.52,100.4,,,
322,04/24/19 04:15:49 PM,11.52,9.70,11.52,100.4,,,
323,04/24/19 04:25:49 PM,11.51,9.70,11.51,100.3,,,
324,04/24/19 04:35:49 PM,11.52,9.70,11.52,100.4,,,
325,04/24/19 04:45:49 PM,11.52,9.70,11.52,100.4,,,
326,04/24/19 04:55:49 PM,11.51,9.70,11.51,100.3,,,
327,04/24/19 05:05:49 PM,11.52,9.70,11.52,100.4,,,
328,04/24/19 05:15:49 PM,11.52,9.70,11.52,100.4,,,
329,04/24/19 05:25:49 PM,11.52,9.72,11.52,100.4,,,
330,04/24/19 05:35:49 PM,11.52,9.72,11.52,100.4,,,
331,04/24/19 05:45:49 PM,11.51,9.72,11.51,100.4,,,
332,04/24/19 05:55:49 PM,11.52,9.74,11.52,100.5,,,
333,04/24/19 06:05:49 PM,11.51,9.74,11.51,100.4,,,
334,04/24/19 06:15:49 PM,11.51,9.74,11.51,100.4,,,
335,04/24/19 06:25:49 PM,11.52,9.72,11.52,100.4,,,
336,04/24/19 06:35:49 PM,11.51,9.70,11.51,100.3,,,
337,04/24/19 06:45:49 PM,11.51,9.70,11.51,100.3,,,
338,04/24/19 06:55:49 PM,11.51,9.68,11.51,100.3,,,
339,04/24/19 07:05:49 PM,11.52,9.66,11.52,100.3,,,
340,04/24/19 07:15:49 PM,11.50,9.64,11.50,100.1,,,
341,04/24/19 07:25:49 PM,11.53,9.64,11.53,100.3,,,
342,04/24/19 07:35:49 PM,11.52,9.62,11.52,100.2,,,
343,04/24/19 07:45:49 PM,11.52,9.60,11.52,100.2,,,
344,04/24/19 07:55:49 PM,11.52,9.58,11.52,100.1,,,
345,04/24/19 08:05:49 PM,11.52,9.56,11.52,100.1,,,
346,04/24/19 08:15:49 PM,11.51,9.54,11.51,99.9,,,
347,04/24/19 08:25:49 PM,11.51,9.50,11.51,99.8,,,
348,04/24/19 08:35:49 PM,11.51,9.48,11.51,99.8,,,
349,04/24/19 08:45:49 PM,11.51,9.46,11.51,99.7,,,
350,04/24/19 08:55:49 PM,11.52,9.42,11.52,99.7,,,
351,04/24/19 09:05:49 PM,11.53,9.40,11.53,99.8,,,
352,04/24/19 09:15:49 PM,11.52,9.38,11.52,99.6,,,
353,04/24/19 09:25:49 PM,11.54,9.36,11.54,99.8,,,
354,04/24/19 09:35:49 PM,11.53,9.34,11.53,99.6,,,
355,04/24/19 09:45:49 PM,11.53,9.34,11.53,99.6,,,
356,04/24/19 09:55:49 PM,11.55,9.32,11.55,99.8,,,
357,04/24/19 10:05:49 PM,11.54,9.30,11.54,99.6,,,
358,04/24/19 10:15:49 PM,11.54,9.30,11.54,99.6,,,
359,04/24/19 10:25:49 PM,11.54,9.30,11.54,99.6,,,
